Coche,Link,Precio,Año,Kms,Combustible,Potencia,Puertas,Cambio
HYUNDAI - I30 1. 4 CRDI KLASS,/hyundai-de-segunda-mano/hyundai-i30-1-4-crdi-klass-300061319.htm,8.400€,año 2014,87.606 kms,diesel,90 cv,5 puertas,manual
CHEVROLET - CRUZE 2. 0 VCDI LS,/chevrolet-de-segunda-mano/chevrolet-cruze-2-0-vcdi-ls-299929498.htm,4.800€,año 2011,163.000 kms,diesel,163 cv,4 puertas,manual
PEUGEOT - 208 5P STYLE 1. 6 BLUEHDI 73KW 100CV,/peugeot-de-segunda-mano/peugeot-208-5p-style-1-6-bluehdi-73kw-100cv-298056268.htm,11.100€,año 2018,14.274 kms,diesel,100 cv,5 puertas,manual
PEUGEOT - 208 5P ALLURE 1. 2L PURETECH 81KW 110CV SS,/peugeot-de-segunda-mano/peugeot-208-5p-allure-1-2l-puretech-81kw-110cv-ss-293803569.htm,11.100€,año 2018,16.000 kms,gasolina,110 cv,5 puertas,manual
FORD - FOCUS 1. 5 TDCI E6 120 BUSINESS SPORTBREAK,/ford-de-segunda-mano/ford-focus-1-5-tdci-e6-120-business-sportbreak-298029716.htm,10.800€,año 2016,55.238 kms,diesel,120 cv,5 puertas,manual
FIAT - 500L LIVING LOUNGE 1. 6 MJET.  88KW 120CV SS,/fiat-de-segunda-mano/fiat-500l-living-lounge-1-6-mjet-88kw-120cv-ss-295132127.htm,11.800€,año 2016,63.278 kms,diesel,120 cv,5 puertas,manual
RENAULT - CLIO BUSINESS DCI 75 ECO2,/renault-de-segunda-mano/renault-clio-business-dci-75-eco2-286525340.htm,6.900€,año 2014,108.514 kms,diesel,75 cv,5 puertas,manual
RENAULT - LAGUNA G. TOUR GT 4CONTROL 2. 0 EN.  DCI 150 ECO2,/renault-de-segunda-mano/renault-laguna-g-tour-gt-4control-2-0-en-dci-150-eco2-264924569.htm,9.900€,año 2013,181.200 kms,diesel,150 cv,5 puertas,manual
FORD - FOCUS 1. 5 TDCI E6 120CV TREND,/ford-de-segunda-mano/ford-focus-1-5-tdci-e6-120cv-trend-283438830.htm,12.000€,año 2016,48.585 kms,diesel,120 cv,5 puertas,manual
OPEL - CORSA 1. 3 CDTI STARTSTOP SELECTIVE 95 CV,/opel-de-segunda-mano/opel-corsa-1-3-cdti-startstop-selective-95-cv-296900464.htm,9.200€,año 2016,44.507 kms,diesel,95 cv,5 puertas,manual
FORD - CMAX 1. 6 TDCI 109 TREND,/ford-de-segunda-mano/ford-cmax-1-6-tdci-109-trend-295288134.htm,6.900€,año 2010,122.000 kms,diesel,109 cv,5 puertas,manual
VOLKSWAGEN - GOLF VI 1. 6 TDI 105CV DPF ADVANCE,/volkswagen-de-segunda-mano/volkswagen-golf-vi-1-6-tdi-105cv-dpf-advance-288255163.htm,8.900€,año 2010,185.400 kms,diesel,105 cv,5 puertas,manual
BMW - SERIE 3 320D,/bmw-de-segunda-mano/bmw-serie-3-320d-284596470.htm,11.900€,año 2007,130.000 kms,diesel,177 cv,2 puertas,manual
FORD - FOCUS 1. 6 TREND,/ford-de-segunda-mano/ford-focus-1-6-trend-297716313.htm,4.850€,año 2008,147.500 kms,gasolina,100 cv,5 puertas,manual
OPEL - INSIGNIA 2. 0 CDTI ECOFLEX 130 CV COSMO,/opel-de-segunda-mano/opel-insignia-2-0-cdti-ecoflex-130-cv-cosmo-291328328.htm,7.999€,año 2010,143.000 kms,diesel,130 cv,4 puertas,manual
BMW - SERIE 1 120D,/bmw-de-segunda-mano/bmw-serie-1-120d-283724939.htm,8.499€,año 2009,175.000 kms,diesel,177 cv,3 puertas,manual
BMW - SERIE 1 118D,/bmw-de-segunda-mano/bmw-serie-1-118d-288304367.htm,7.900€,año 2007,125.000 kms,diesel,143 cv,3 puertas,manual
LANCIA - DELTA 1. 6 MULTIJET DPF 120CV ARGENTO,/lancia-de-segunda-mano/lancia-delta-1-6-multijet-dpf-120cv-argento-290661665.htm,9.900€,año 2011,89.000 kms,diesel,120 cv,5 puertas,manual
FORD - FIESTA 1. 25 82CV TREND,/ford-de-segunda-mano/ford-fiesta-1-25-82cv-trend-299316127.htm,6.500€,año 2010,48.900 kms,gasolina,82 cv,5 puertas,manual
SUZUKI - GRAND VITARA 1. 6 VVT JX,/suzuki-de-segunda-mano/suzuki-grand-vitara-1-6-vvt-jx-299636226.htm,6.450€,año 2006,117.000 kms,gasolina,106 cv,3 puertas,manual
SEAT - LEON 1. 4 TSI 125CV SPORT,/seat-de-segunda-mano/seat-leon-1-4-tsi-125cv-sport-298379801.htm,7.500€,año 2010,122.000 kms,gasolina,125 cv,5 puertas,manual
MINI - MINI COOPER S,/mini-de-segunda-mano/mini-mini-cooper-s-295138677.htm,10.900€,año 2008,119.000 kms,gasolina,175 cv,3 puertas,manual
PEUGEOT - 208 STYLE,/peugeot-de-segunda-mano/peugeot-208-style-293290381.htm,9.900€,año 2015,20.000 kms,gasolina,80 cv,5 puertas,manual
FORD - MONDEO 2. 0 TDCI 115 FUTURA X,/ford-de-segunda-mano/ford-mondeo-2-0-tdci-115-futura-x-291003817.htm,3.300€,año 2006,141.000 kms,diesel,115 cv,5 puertas,manual
TOYOTA - RAV4 2. 2 D4D 136CV SOL,/toyota-de-segunda-mano/toyota-rav4-2-2-d4d-136cv-sol-284596246.htm,9.900€,año 2006,99.000 kms,diesel,136 cv,5 puertas,manual
CITROEN - C4 CACTUS EHDI 92 ETG6 FEEL,/citroen-de-segunda-mano/citroen-c4-cactus-ehdi-92-etg6-feel-296639731.htm,8.900€,año 2014,95.200 kms,diesel,92 cv,5 puertas,automat
RENAULT - KOLEOS 2. 0DCI 150CV 4X2 DYNAMIQUE PK2,/renault-de-segunda-mano/renault-koleos-2-0dci-150cv-4x2-dynamique-pk2-291327832.htm,6.500€,año 2008,179.900 kms,diesel,150 cv,5 puertas,manual
SEAT - IBIZA SC 1. 6 TDI 90CV REFERENCE DPF,/seat-de-segunda-mano/seat-ibiza-sc-1-6-tdi-90cv-reference-dpf-295719002.htm,5.500€,año 2011,126.000 kms,diesel,90 cv,3 puertas,manual
VOLKSWAGEN - TOUAREG 2. 5 R5 TDI MOTION TIPTRONIC,/volkswagen-de-segunda-mano/volkswagen-touareg-2-5-r5-tdi-motion-tiptronic-295038058.htm,9.900€,año 2006,188.800 kms,diesel,174 cv,5 puertas,automat
BMW - SERIE 1 118D,/bmw-de-segunda-mano/bmw-serie-1-118d-299128758.htm,9.900€,año 2010,148.400 kms,diesel,143 cv,5 puertas,manual
FORD - KA 1. 2 TREND,/ford-de-segunda-mano/ford-ka-1-2-trend-299132473.htm,4.500€,año 2010,107.700 kms,gasolina,69 cv,3 puertas,manual
BMW - SERIE 1 116I,/bmw-de-segunda-mano/bmw-serie-1-116i-300013500.htm,7.400€,año 2008,87.700 kms,gasolina,122 cv,5 puertas,manual
SUZUKI - GRAND VITARA 2. 0 JLXA,/suzuki-de-segunda-mano/suzuki-grand-vitara-2-0-jlxa-298067330.htm,9.200€,año 2007,94.000 kms,gasolina,140 cv,5 puertas,manual
